labels,numbers
human,764630368926946241527490254892378
human,738372947472930184615492017492036
human,0294727402847104726349284729405829028
human,37388473828292938383939473739292938383839393836363637374849494940392827363636737484910101973636619109283837383839292928
human,9292737378291918273728282827383039737338389393938
human,91828392928272637363792919374759404973739400
human,95848473626262748849393948748403937374749048474
human,95847473739203874749393737649303837478
human,8272738404974746363829918264748493736
